ts_week,KOSPI,ln_KOSPI,D_ln_KOSPI
1980w1,100.89333,4.6140639, 0.0387212
1980w2,104.87667,4.6527851,0.0387212
1980w3,101.45833,4.6196482,-0.03313685
1980w4,101.94,4.6243844,0.0047362
1980w5,104.65,4.6506214,0.02623704
1980w6,104.16,4.6459282,-0.00469327
1980w7,104.735,4.6514334,0.00550517
1980w8,104.695,4.6510514,-0.00038199
1980w9,103.67,4.6412128,-0.00983858
1980w10,103.386,4.6384696,-0.00274322
1980w11,103.42667,4.6388628,0.00039327
1980w12,104.55333,4.6496973,0.01083448
1980w13,105.88167,4.6623221,0.01262481
1980w14,106.956,4.6724175,0.01009542
1980w15,110.99333,4.7094701,0.0370526
1980w16,112.28,4.7209958,0.01152561
1980w17,117.12833,4.7632702,0.04227445
1980w18,117.362,4.7652632,0.00199298
1980w19,117.70167,4.7681532,0.00289
1980w20,113.44667,4.7313328,-0.03682035
1980w21,111.422,4.7133248,-0.01800803
1980w22,115.39833,4.7483899,0.03506512
1980w23,114.238,4.738284,-0.01010592
1980w24,112.615,4.7239749,-0.01430907
1980w25,113.59667,4.7326542,0.00867924
1980w26,112.25333,4.7207582,-0.01189594
1980w27,112.27333,4.7209364,0.00017815
1980w28,111.27833,4.7120346,-0.0089018
1980w29,110.176,4.7020791,-0.00995548
1980w30,110.86167,4.7082832,0.00620409
1980w31,112.14667,4.7198075,0.01152436
1980w32,111.52333,4.7142338,-0.0055737
1980w33,108.236,4.684314,-0.02991981
1980w34,111.49167,4.7139498,0.02963582
1980w35,112.686,4.7246052,0.01065534
1980w36,113.06333,4.7279481,0.00334294
1980w37,111.86833,4.7173226,-0.01062555
1980w38,110.77167,4.707471,-0.00985156
1980w39,110.57,4.7056488,-0.00182222
1980w40,109.48,4.6957419,-0.00990692
1980w41,108.686,4.688463,-0.00727889
1980w42,110.48833,4.7049099,0.01644694
1980w43,108.842,4.6898973,-0.01501265
1980w44,106.01,4.6635334,-0.02636386
1980w45,105.225,4.6561009,-0.00743251
1980w46,104.49833,4.6491711,-0.00692979
1980w47,104.73667,4.6514493,0.00227814
1980w48,106.85,4.671426,0.01997672
1980w49,106.21333,4.6654497,-0.00597633
1980w50,105.69667,4.6605734,-0.00487629
1980w51,105.39833,4.6577468,-0.00282653
1980w52,106.43,4.6674875,0.00974067
1981w1,94.7,4.550714,-0.11677349
1981w2,99.933333,4.6045033,0.0537893
1981w3,106.66667,4.6697087,0.06520541
1981w4,105.66667,4.6602895,-0.00941922
1981w5,105.36667,4.6574463,-0.00284315
1981w6,105.58,4.659469,0.00202263
1981w7,104.01667,4.6445511,-0.01491782
1981w8,103.4,4.638605,-0.00594618
1981w9,103.84,4.6428513,0.00424629
1981w10,103.26,4.6372501,-0.00560117
1981w11,104.98333,4.6538016,0.01655153
1981w12,105.62,4.6598477,0.00604614
1981w13,106.48333,4.6679885,0.00814073
1981w14,110.05,4.7009348,0.03294633
1981w15,111.33333,4.7125287,0.0115939
1981w16,111.26667,4.7119297,-0.00059898
1981w17,115.45,4.7488375,0.03690781
1981w18,122.16,4.8053317,0.05649413
1981w19,119.1,4.7799635,-0.02536818
1981w20,121.3,4.7982668,0.01830334
1981w21,122,4.804021,0.00575423
1981w22,127.1,4.8449742,0.04095313
1981w23,130.68,4.8727516,0.02777741
1981w24,138.4,4.930148,0.05739646
1981w25,138.8,4.933034,0.002886
1981w26,147.25,4.9921318,0.05909777
1981w27,159.73333,5.0735058,0.08137394
1981w28,158.85,5.0679604,-0.0055454
1981w29,155.68,5.0478026,-0.02015774
1981w30,147.33333,4.9926976,-0.05510503
1981w31,149.26667,5.0057344,0.01303682
1981w32,149.91667,5.0100796,0.00434517
1981w33,142.9,4.9621451,-0.0479345
1981w34,142.73333,4.9609781,-0.001167
1981w35,140.73333,4.9468668,-0.01411124
1981w36,144.25,4.9715479,0.02468106
1981w37,144.66,4.9743862,0.00283826
1981w38,141.6,4.9530062,-0.02137998
1981w39,136.53333,4.9165688,-0.0364374
1981w40,140.525,4.9453854,0.02881662
1981w41,136.72,4.917935,-0.02745037
1981w42,131.63333,4.8800203,-0.03791476
1981w43,127.63333,4.8491616,-0.03085871
1981w44,124.78333,4.8265789,-0.02258267
1981w45,123.78333,4.8185327,-0.00804617
1981w46,125.46667,4.8320401,0.01350739
1981w47,132.91667,4.8897224,0.05768225
1981w48,131.46667,4.8787533,-0.01096903
1981w49,130.15,4.8686876,-0.0100657
1981w50,129.08333,4.8604582,-0.00822944
1981w51,129.53333,4.8639382,0.00348006
1981w52,131.3,4.8774848,0.01354653
1982w1,124.43,4.8237433,-0.05374147
1982w2,127.08833,4.8448824,0.02113907
1982w3,125.65667,4.8335533,-0.01132906
1982w4,125.96333,4.8359909,0.00243754
1982w5,124.42667,4.8237165,-0.01227434
1982w6,124.92833,4.8277402,0.00402372
1982w7,126.085,4.8369563,0.00921604
1982w8,125.79667,4.8346668,-0.00228944
1982w9,129.394,4.862862,0.02819517
1982w10,132.852,4.8892357,0.02637371
1982w11,128.44333,4.8554878,-0.03374791
1982w12,127.22,4.8459179,-0.00956995
1982w13,127.57167,4.8486783,0.00276043
1982w14,126.226,4.838074,-0.01060435
1982w15,123.88833,4.8193806,-0.01869333
1982w16,121.14,4.7969469,-0.02243372
1982w17,121.52333,4.8001063,0.00315939
1982w18,118.2975,4.7732026,-0.02690365
1982w19,112.81667,4.7257641,-0.04743856
1982w20,112.06,4.7190344,-0.00672964
1982w21,115.895,4.7526846,0.03365017
1982w22,115.97667,4.753389,0.00070441
1982w23,118.75833,4.7770906,0.02370159
1982w24,116.975,4.7619602,-0.01513038
1982w25,115.00667,4.7449901,-0.01697014
1982w26,119.84,4.7861575,0.04116742
1982w27,120.31333,4.7900995,0.00394193
1982w28,119.705,4.7850304,-0.00506907
1982w29,120.888,4.7948645,0.00983411
1982w30,122.665,4.8094571,0.01459257
1982w31,125.11,4.8291934,0.01973629
1982w32,124.97167,4.828087,-0.00110631
1982w33,125.42333,4.8316947,0.00360764
1982w34,122.44167,4.8076347,-0.02405996
1982w35,121.98,4.8038571,-0.00377763
1982w36,119.14167,4.7803133,-0.02354384
1982w37,117.82833,4.7692288,-0.0110845
1982w38,116.39,4.7569466,-0.01228214
1982w39,117.59833,4.7672749,0.01032824
1982w40,119.315,4.7817671,0.01449219
1982w41,119.166,4.7805175,-0.00124958
1982w42,117.35833,4.7652319,-0.01528555
1982w43,119.25667,4.781278,0.0160461
1982w44,121.88667,4.8030917,0.02181362
1982w45,121.88333,4.8030643,-0.00002735
1982w46,123.10333,4.8130241,0.00995981
1982w47,122.175,4.8054544,-0.00756967
1982w48,123.79333,4.8186135,0.01315907
1982w49,126.17333,4.8376566,0.01904311
1982w50,127.45667,4.8477764,0.01011981
1982w51,126.95167,4.8438064,-0.00397
1982w52,128.99,4.8597349,0.01592845
1983w1,122.245,4.8060272,-0.05370765
1983w2,120.5,4.7916498,-0.01437747
1983w3,120.25833,4.7896422,-0.00200755
1983w4,117.82,4.769158,-0.02048417
1983w5,118.86,4.7779463,0.00878829
1983w6,119.86167,4.7863383,0.00839197
1983w7,122.19167,4.8055909,0.01925255
1983w8,123.04,4.8125095,0.00691866
1983w9,122.698,4.8097261,-0.00278345
1983w10,122.168,4.8053971,-0.00432891
1983w11,120.58333,4.7923411,-0.01305607
1983w12,119.28833,4.7815435,-0.01079755
1983w13,119.8,4.7858237,0.00428015
1983w14,119.792,4.7857569,-0.00006678
1983w15,122.485,4.8079886,0.02223167
1983w16,128.22333,4.8537735,0.04578496
1983w17,129.31333,4.8622384,0.00846486
1983w18,132.946,4.889943,0.02770463
1983w19,130.74333,4.8732361,-0.01670692
1983w20,125.01,4.8283937,-0.04484238
1983w21,125.40667,4.8315618,0.00316806
1983w22,125.36667,4.8312428,-0.00031901
1983w23,123.286,4.8145069,-0.01673592
1983w24,123.45667,4.8158902,0.00138336
1983w25,124.365,4.8232208,0.00733057
1983w26,123.72667,4.8180748,-0.00514596
1983w27,121.97667,4.8038298,-0.01424506
1983w28,121.71833,4.8017096,-0.00212014
1983w29,123.24,4.8141337,0.01242404
1983w30,124.23,4.8221347,0.00800101
1983w31,124.635,4.8253895,0.00325478
1983w32,123.34667,4.8149988,-0.01039065
1983w33,122.134,4.8051188,-0.00988002
1983w34,120.72833,4.7935428,-0.01157596
1983w35,118.53667,4.7752223,-0.01832051
1983w36,120.01,4.7875751,0.01235274
1983w37,119.275,4.7814318,-0.00614332
1983w38,119.47,4.7830653,0.00163354
1983w39,117.64667,4.7676858,-0.01537951
1983w40,117.0925,4.7629642,-0.00472156
1983w41,117.535,4.7667362,0.00377194
1983w42,118.64667,4.7761499,0.00941373
1983w43,118.22167,4.7725614,-0.0035885
1983w44,121.31,4.7983493,0.02578786
1983w45,120.66,4.7929767,-0.00537258
1983w46,120.41,4.7909026,-0.00207409
1983w47,118.59,4.7756722,-0.01523042
1983w48,117.66,4.7677991,-0.00787306
1983w49,117.70667,4.7681957,0.00039654
1983w50,119.81167,4.7859211,0.01772541
1983w51,121.215,4.7975658,0.01164476
1983w52,121.21,4.7975246,-0.00004125
1984w1,115.25,4.7471037,-0.0504209
1984w2,117.28667,4.7646211,0.0175174
1984w3,118.17167,4.7721384,0.00751729
1984w4,120.635,4.7927695,0.02063109
1984w5,126.54333,4.8405848,0.04781535
1984w6,129.78667,4.8658921,0.02530727
1984w7,131.85333,4.8816902,0.01579812
1984w8,129.435,4.8631788,-0.01851137
1984w9,129.038,4.8601069,-0.00307189
1984w10,127.55,4.8485084,-0.01159849
1984w11,127.71167,4.8497751,0.00126667
1984w12,128.87833,4.8588688,0.00909369
1984w13,132.38,4.8856766,0.02680777
1984w14,134.234,4.8995845,0.01390797
1984w15,133.735,4.8958602,-0.00372432
1984w16,131.50667,4.8790575,-0.01680268
1984w17,133.225,4.8920394,0.01298188
1984w18,135.47,4.9087502,0.01671079
1984w19,131.642,4.8800861,-0.0286641
1984w20,129.875,4.8665724,-0.01351367
1984w21,131.71,4.8806025,0.01403009
1984w22,131.21833,4.8768626,-0.00373993
1984w23,134.138,4.8988691,0.02200652
1984w24,135.77167,4.9109746,0.01210543
1984w25,133.93,4.8973173,-0.01365728
1984w26,130.70667,4.8729556,-0.02436165
1984w27,131.715,4.8806405,0.00768487
1984w28,132.45667,4.8862555,0.00561505
1984w29,132.636,4.8876085,0.00135299
1984w30,135.13,4.9062373,0.01862874
1984w31,135.18667,4.9066565,0.00041926
1984w32,136.45667,4.9160071,0.00935056
1984w33,135.144,4.9063409,-0.00966623
1984w34,134.36667,4.9005724,-0.0057685
1984w35,134.455,4.9012296,0.00065719
1984w36,136.46667,4.9160804,0.01485081
1984w37,135.492,4.9089126,-0.00716779
1984w38,133.95,4.8974666,-0.011446
1984w39,133.24167,4.8921645,-0.00530207
1984w40,134.0075,4.8978958,0.00573125
1984w41,133.928,4.8973023,-0.00059343
1984w42,131.95,4.8824231,-0.01487928
1984w43,130.565,4.8718712,-0.01055188
1984w44,130.15167,4.8687004,-0.00317075
1984w45,133.21667,4.8919769,0.02327644
1984w46,132.78,4.8886936,-0.00328325
1984w47,133.105,4.8911383,0.00244467
1984w48,134.78167,4.9036562,0.01251789
1984w49,137.31,4.9222411,0.01858496
1984w50,137.63333,4.9245931,0.002352
1984w51,139.86167,4.9406538,0.01606069
1984w52,142.46,4.9590613,0.01840742
1985w1,142.27667,4.9577735,-0.00128774
1985w2,141.85667,4.9548172,-0.00295636
1985w3,138.90667,4.9338022,-0.02101491
1985w4,138.91833,4.9338862,0.00008399
1985w5,138.145,4.9283039,-0.00558237
1985w6,136.70667,4.9178375,-0.01046635
1985w7,135.144,4.9063409,-0.01149663
1985w8,134.252,4.8997186,-0.00662225
1985w9,134.966,4.9050229,0.00530426
1985w10,134.21167,4.8994182,-0.00560474
1985w11,133.56333,4.8945758,-0.00484238
1985w12,134.09833,4.8985734,0.00399759
1985w13,135.38,4.9080856,0.00951228
1985w14,137.632,4.9245835,0.01649782
1985w15,136.99333,4.9199323,-0.00465119
1985w16,135.72,4.9105939,-0.00933832
1985w17,134.78167,4.9036562,-0.00693775
